title,ddec,loupan,area,house_type,unitPrice,toward,renovation,positionInfo,totalPrice
tianhe,棠德花园 正规东向两房 加装电梯 中楼层,棠德花园 -棠下,61.44平米,2室1厅,单价31413元/平米,东,简装,中楼层(共9层),193
tianhe,交通方便 安静舒适 采光好 户型方正 此楼层好,六运小区 -天河南,46.01平米,1室1厅,单价47382元/平米,南,简装,中楼层(共8层),218
tianhe,精装修两房 可以使用管道煤气 交通便利,马赛国际公寓 -珠江新城东,75.5平米,2室1厅,单价41060元/平米,西北,精装,中楼层(共33层),310
tianhe,珠江新城 隽峰苑 毛坯房 全景珠江公园 让人心旷神怡,隽峰苑 -珠江新城中,237平米,5室2厅,单价65823元/平米,东,毛坯,中楼层(共32层),1560
tianhe,骏景花园  北苑  正规三房带主套   西向采光好,骏景花园 -棠下,100平米,3室1厅,单价49500元/平米,西,精装,中楼层(共12层),495
tianhe,天平架地铁 实用3房  南北对流 安静舒适  一梯3户,省粮油宿舍 -沙太南,74.84平米,3室1厅,单价27793元/平米,西南,精装,中楼层(共9层),208
tianhe,中怡城市花园  华阳两房 地铁200米 三地铁,中怡城市花园 -林和,60平米,2室2厅,单价79167元/平米,东北,简装,低楼层(共32层),475
tianhe,育龙居3房，满五年唯一，业主自住，保养好,育龙居 -龙洞,86.81平米,3室2厅,单价36287元/平米,东北,精装,中楼层(共9层),315
tianhe,华景新城 二期 电梯两房 安静不吵 楼层好,华景新城瑞景楼 -华景新城,67.38平米,3室2厅,单价45266元/平米,北,简装,中楼层(共9层),305
tianhe,信成小区 4室2厅 550万,信成小区 -体育中心,99.18平米,4室2厅,单价55455元/平米,北 东北,精装,低楼层(共8层),550
tianhe,易丰大厦 方正两房 看房方便 采光好,易丰大厦 -天河公园,62.68平米,2室1厅,单价49139元/平米,西,精装,中楼层(共18层),308
tianhe,南国嘉园 2室1厅 230万,南国嘉园 -东圃,53.35平米,2室1厅,单价43112元/平米,东北,精装,中楼层(共24层),230
tianhe,精选华景三期房源，小区环境好，出行交通方便,华景新城叠翠居 -华景新城,85.75平米,2室2厅,单价41983元/平米,西北,简装,低楼层(共9层),360
tianhe,富力天朗明居方正两房，厅出大阳台,富力天朗明居S区 -棠下,69.72平米,2室2厅,单价43460元/平米,西,精装,低楼层(共18层),303
tianhe,保利心语 西向望花园 高层两房 保养新 户型实用,保利心语花园 -珠江新城中,73.91平米,2室1厅,单价85239元/平米,西,精装,中楼层(共32层),630
tianhe,华南理工大学宿舍南秀村 3室1厅 430万,华南理工大学宿舍南秀村 -五山,64.36平米,3室1厅,单价66812元/平米,南,简装,中楼层(共8层),430
tianhe,小区安静 楼层适中 楼距宽  通风采光好,邮通小区 -华景新城,49.78平米,2室1厅,单价56248元/平米,东,简装,中楼层(共8层),280
tianhe,体院教师大院整改东风公园旁边总层高5楼房子在2楼。,水荫横路 -水荫,105.49平米,3室2厅,单价36023元/平米,东 南 北,简装,中楼层(共5层),380
tianhe,车陂南金融城旁 厅直出阳台高层两房 视野好,富力天朗明居N区 -棠下,78.22平米,2室2厅,单价43723元/平米,东北,精装,中楼层(共26层),342
tianhe,现业主降价13万，户型方正   总价低,南兴花园(天河区) -天河客运站,68平米,2室1厅,单价30148元/平米,东南 东北,精装,中楼层(共7层),205
tianhe,润华大厦  望白云山 安静三房,润华大厦 -天润路,90.34平米,3室1厅,单价51473元/平米,东北,精装,高楼层(共26层),465
tianhe,棠德花园 高层复式 适合年青人群体,棠德花园 -棠下,63.66平米,3室2厅,单价26548元/平米,西北,简装,高楼层(共9层),169
tianhe,华景新城三期、户型方正、采光通风好,华景新城翡翠居 -华景新城,74.43平米,2室2厅,单价48368元/平米,南 北,精装,低楼层(共9层),360
tianhe,天朗明居  安静两房 厅直出大阳台,富力天朗明居S区 -棠下,60.31平米,2室1厅,单价47920元/平米,西南,精装,高楼层(共18层),289
tianhe,天朗明居东南向望花园两房 光线好 精装修 中楼层,富力天朗明居N区 -棠下,65平米,2室1厅,单价49539元/平米,东南,精装,中楼层(共26层),322
tianhe,旭景家园 三房 通风采光好 中间楼层,旭景家园B区 -东圃,80.47平米,3室1厅,单价38276元/平米,北,简装,中楼层(共15层),308
tianhe,优选房源 天河区南向三房 双地铁天河客运站800米,南兴花园(天河区) -天河客运站,82平米,3室2厅,单价31098元/平米,东南,简装,高楼层(共7层),255
tianhe,房子是正规3房，高楼层，视野开阔，望华景新城夜景,喜洋居 -华景新城,84平米,3室1厅,单价46310元/平米,东北,简装,中楼层(共21层),389
