,gz_totalPrice,gz_unitPrice,gz_title,gz_area,gz_beds,gz_rooms,gz_toward,gz_renovation,gz_positionInfo
0,193.0,31413,tianhe,61.44,2,1,东,0,9
1,218.0,47382,tianhe,46.01,1,1,南,0,8
2,310.0,41060,tianhe,75.5,2,1,西,1,33
3,1560.0,65823,tianhe,237,5,2,东,毛坯,32
4,495.0,49500,tianhe,100,3,1,西,1,12
5,208.0,27793,tianhe,74.84,3,1,西,1,9
6,475.0,79167,tianhe,60,2,2,东,0,32
7,315.0,36287,tianhe,86.81,3,2,东,1,9
8,305.0,45266,tianhe,67.38,3,2,北,0,9
9,550.0,55455,tianhe,99.18,4,2,北,1,8
10,308.0,49139,tianhe,62.68,2,1,西,1,18
11,230.0,43112,tianhe,53.35,2,1,东,1,24
12,360.0,41983,tianhe,85.75,2,2,西,0,9
13,303.0,43460,tianhe,69.72,2,2,西,1,18
14,630.0,85239,tianhe,73.91,2,1,西,1,32
15,430.0,66812,tianhe,64.36,3,1,南,0,8
16,280.0,56248,tianhe,49.78,2,1,东,0,8
17,380.0,36023,tianhe,105.49,3,2,东,0,5
18,342.0,43723,tianhe,78.22,2,2,东,1,26
19,205.0,30148,tianhe,68,2,1,东,1,7
20,465.0,51473,tianhe,90.34,3,1,东,1,26
21,169.0,26548,tianhe,63.66,3,2,西,0,9
22,360.0,48368,tianhe,74.43,2,2,南,1,9
23,289.0,47920,tianhe,60.31,2,1,西,1,18
24,322.0,49539,tianhe,65,2,1,东,1,26
25,308.0,38276,tianhe,80.47,3,1,北,0,15
26,255.0,31098,tianhe,82,3,2,东,0,7
27,389.0,46310,tianhe,84,3,1,东,0,21
28,310.0,47539,tianhe,65.21,2,2,南,1,26
29,370.0,45742,tianhe,80.89,3,1,南,0,4
30,230.0,42389,yuexiu,54.26,2,1,东,0,9
31,1600.0,80536,yuexiu,198.67,4,2,西,1,30
32,330.0,52406,yuexiu,62.97,2,1,东,0,9
33,140.0,25783,yuexiu,54.3,2,2,南,0,3
34,368.0,50508,yuexiu,72.86,2,1,东,0,8
35,380.0,51096,yuexiu,74.37,2,1,南,0,8
36,130.0,49600,yuexiu,26.21,1,1,西,1,8
37,399.0,58677,yuexiu,68,2,1,南,0,8
38,380.0,46033,yuexiu,82.55,3,1,南,0,9
39,300.0,47289,yuexiu,63.44,2,1,东,0,6
40,118.0,25322,yuexiu,46.6,1,0,东,1,21
41,460.0,57928,yuexiu,79.41,3,1,南,0,8
42,199.0,34950,yuexiu,56.94,2,1,东,0,7
43,110.0,26110,yuexiu,42.13,2,1,南,0,9
44,310.0,50820,yuexiu,61,2,1,北,1,9
45,550.0,67221,yuexiu,81.82,2,2,南,1,8
46,238.0,46160,yuexiu,51.56,2,1,南,0,9
47,405.0,53346,yuexiu,75.92,3,1,东,0,9
48,180.0,38869,yuexiu,46.31,2,1,东,0,9
49,260.0,45615,yuexiu,57,2,1,西,0,30
50,328.0,48766,yuexiu,67.26,2,1,南,0,6
51,388.0,42600,yuexiu,91.08,3,2,南,1,9
52,280.0,47962,yuexiu,58.38,2,1,南,1,7
53,480.0,48049,yuexiu,99.9,3,2,西,0,8
54,499.0,47811,yuexiu,104.37,3,2,东,0,30
55,260.0,33364,yuexiu,77.93,3,1,西,0,4
56,115.0,29442,yuexiu,39.06,2,1,东,1,9
57,375.0,49981,yuexiu,75.03,3,1,南,0,9
58,298.0,48456,yuexiu,61.5,2,1,东,0,8
59,230.0,56098,yuexiu,41,2,2,南,1,9
60,175.0,35469,liwan,49.34,2,1,东,1,9
61,190.0,30855,liwan,61.58,2,1,南,1,9
62,368.0,36005,liwan,102.21,2,2,南,1,31
63,375.0,44390,liwan,84.48,3,2,东,1,25
64,175.0,32366,liwan,54.07,2,1,东,1,9
65,175.0,36843,liwan,47.5,2,1,北,1,28
66,280.0,31990,liwan,87.53,3,1,东,0,19
67,121.0,30273,liwan,39.97,1,1,南,1,9
68,165.0,31334,liwan,52.66,2,1,北,0,9
69,176.0,26293,liwan,66.94,3,2,东,1,8
70,178.0,24179,liwan,73.62,3,2,东,1,3
71,145.0,32903,liwan,44.07,2,1,南,0,9
72,85.0,32468,liwan,26.18,1,0,南,0,6
73,140.0,25455,liwan,55,2,1,东,0,7
74,210.0,28257,liwan,74.32,2,2,南,0,9
75,85.0,26563,liwan,32,1,1,南,0,9
76,410.0,44566,liwan,92,3,2,南,1,40
77,598.0,46214,liwan,129.4,4,2,东,1,31
78,310.0,43941,liwan,70.55,2,1,南,1,13
79,380.0,40577,liwan,93.65,3,1,东,1,33
80,310.0,50244,liwan,61.7,2,1,东,1,26
81,258.0,35834,liwan,72,3,1,南,0,9
82,257.0,37728,liwan,68.12,2,2,北,0,32
83,328.0,32768,liwan,100.1,4,2,南,1,2
84,125.0,24956,liwan,50.09,2,1,北,0,9
85,375.0,37295,liwan,100.55,3,2,东,0,33
86,90.0,25232,liwan,35.67,1,1,北,1,8
87,200.0,31329,liwan,63.84,2,1,东,0,9
88,205.0,35504,liwan,57.74,2,1,西,0,8
89,183.0,31331,liwan,58.41,2,1,南,1,6
90,780.0,33402,haizhu,233.52,4,2,东,1,33
91,299.0,41305,haizhu,72.39,3,1,北,1,13
92,156.0,24209,haizhu,64.44,2,1,北,0,9
93,235.0,36520,haizhu,64.35,2,1,东,1,16
94,165.0,25661,haizhu,64.3,2,1,南,1,9
95,269.0,36820,haizhu,73.06,3,1,东,1,8
96,138.0,40422,haizhu,34.14,1,1,西,0,15
97,305.0,36427,haizhu,83.73,3,2,东,0,28
98,280.0,38059,haizhu,73.57,2,1,北,0,9
99,380.0,37255,haizhu,102,4,2,南,0,9
100,465.0,41374,haizhu,112.39,4,2,东,1,18
101,225.0,36320,haizhu,61.95,1,1,南,0,30
102,400.0,43721,haizhu,91.49,3,2,东,0,23
103,190.0,35056,haizhu,54.2,2,1,东,0,9
104,160.0,30258,haizhu,52.88,2,1,南,0,8
105,385.0,38984,haizhu,98.76,3,2,北,0,11
106,290.0,35440,haizhu,81.83,3,2,南,0,22
107,155.0,48438,haizhu,32,2,1,南,1,18
108,180.0,38561,haizhu,46.68,1,1,南,0,33
109,162.0,28643,haizhu,56.56,2,1,南,0,9
110,113.0,22991,haizhu,49.15,2,1,南,0,9
111,260.0,35327,haizhu,73.6,3,1,南,0,9
112,288.0,37826,haizhu,76.14,2,2,北,0,13
113,310.0,35686,haizhu,86.87,3,2,南,0,9
114,243.0,36964,haizhu,65.74,2,1,西,1,11
115,257.0,29856,haizhu,86.08,3,2,东,1,8
116,255.0,36325,haizhu,70.2,2,1,南,0,9
117,320.0,35015,haizhu,91.39,3,2,南,1,18
118,266.0,40980,haizhu,64.91,2,2,西,0,24
119,328.0,39609,haizhu,82.81,2,2,东,0,13
120,110.0,32593,panyu,33.75,1,0,北,1,33
121,200.0,24097,panyu,83,2,2,东,0,7
122,185.0,19619,panyu,94.3,3,2,东,1,9
123,250.0,29762,panyu,84,2,2,南,1,4
124,200.0,18442,panyu,108.45,3,2,南,1,6
125,140.0,20058,panyu,69.8,2,1,南,0,8
126,370.0,36197,panyu,102.22,3,2,东,1,32
127,223.0,24762,panyu,90.06,2,2,西,1,54
128,195.0,21547,panyu,90.5,3,2,北,0,7
129,209.0,22917,panyu,91.2,3,2,北,0,4
